codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.1.3.03.1.1.03.03.00.00.000;02;0201;8.494,95;12.760,28;0040;"IRRF sobre Rendimentos do  Trabalho - Principal  - Inativos pagos pelo RPPS - ASPS";A;08;000;8.494,95;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.4.0.00.00.00.00.000;02;0201;0,00;29.497,75;0000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos";S;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.4.1.00.00.00.00.000;02;0201;0,00;29.497,75;0000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal";S;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.00.00.00.000;02;0201;0,00;29.497,75;0000;"IRRF - Outros Rendimentos - Principal  - Poder Executivo";S;07;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.01.00.00.000;02;0201;0,00;17.698,63;0001;"IRRF - Outros Rendimentos - Principal  - Poder Executivo - PROPRIO";A;08;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.02.00.00.000;02;0201;0,00;7.374,45;0020;"IRRF - Outros Rendimentos - Principal  - Poder Executivo - MDE";A;08;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.03.00.00.000;02;0201;0,00;4.424,67;0040;"IRRF - Outros Rendimentos - Principal  - Poder Executivo - ASPS";A;08;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.00.0.0.00.00.00.00.000;02;0201;1.855.866,70;2.015.599,38;0000;"Impostos Especificos de Estados, DF e Municipios";S;04;000;2.122.866,70;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.0.0.00.00.00.00.000;02;0201;1.533.194,18;1.650.776,47;0000;"Impostos sobre o Patrimonio para Estados/DF/Municipios";S;05;000;1.800.194,18;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.0.00.00.00.00.000;02;0201;533.194,18;512.568,15;0000;"Imposto sobre a Propriedade Predial e Territorial Urbana";S;06;000;533.194,18;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.00.00.00.00.000;02;0201;443.022,61;410.065,70;0000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Principal";S;06;000;443.022,61;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.01.00.00.00.000;02;0201;265.813,57;246.036,89;0001;"IPTU - Principal  - PROPRIO";A;07;000;265.813,57;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.02.00.00.00.000;02;0201;110.755,65;102.518,42;0020;"IPTU - Principal  - MDE";A;07;000;110.755,65;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.03.00.00.00.000;02;0201;66.453,39;61.510,39;0040;"IPTU - Principal  - ASPS";A;07;000;66.453,39;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.00.00.00.00.000;02;0201;3.656,98;3.103,92;0000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora";S;06;000;3.656,98;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.01.00.00.00.000;02;0201;2.194,18;1.862,18;0001;"IPTU - Multas e Juros de Mora  - PROPRIO";A;07;000;2.194,18;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.02.00.00.00.000;02;0201;914,25;776,12;0020;"IPTU - Multas e Juros de Mora  - MDE";A;07;000;914,25;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.03.00.00.00.000;02;0201;548,55;465,62;0040;"IPTU - Multas e Juros de Mora  - ASPS";A;07;000;548,55;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.00.00.00.00.000;02;0201;63.648,13;75.215,16;0000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Divida Ativa";S;06;000;63.648,13;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.01.00.00.00.000;02;0201;38.188,88;45.127,74;0001;"IPTU - Divida Ativa  - PROPRIO";A;07;000;38.188,88;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.02.00.00.00.000;02;0201;15.912,03;18.804,80;0020;"IPTU - Divida Ativa  - MDE";A;07;000;15.912,03;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.03.00.00.00.000;02;0201;9.547,22;11.282,62;0040;"IPTU - Divida Ativa  - ASPS";A;07;000;9.547,22;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.00.00.00.00.000;02;0201;22.866,46;24.183,37;0000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora da Divida Ativa";S;06;000;22.866,46;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.01.00.00.00.000;02;0201;13.719,87;14.509,44;0001;"IPTU - Multas e Juros de Mora da Divida Ativa  - PROPRIO";A;07;000;13.719,87;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.02.00.00.00.000;02;0201;5.716,62;6.046,37;0020;"IPTU - Multas e Juros de Mora da Divida Ativa  - MDE";A;07;000;5.716,62;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.03.00.00.00.000;02;0201;3.429,97;3.627,56;0040;"IPTU - Multas e Juros de Mora da Divida Ativa  - ASPS";A;07;000;3.429,97;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.4.0.00.00.00.00.000;02;0201;1.000.000,00;1.138.208,32;0000;"Imposto sobre Transmissao “Inter Vivos” de Bens Imoveis e de Direitos Reais sobre Imoveis";S;06;000;1.267.000,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.00.00.00.00.000;02;0201;1.000.000,00;1.138.208,32;0000;"Imposto sobre Transmissao “Inter Vivos” de Bens Imoveis e de Direitos Reais sobre Imoveis - Principal";S;06;000;1.267.000,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.01.00.00.00.000;02;0201;600.000,00;682.924,99;0001;"ITBI - Principal  - PROPRIO";A;07;000;867.000,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.02.00.00.00.000;02;0201;250.000,00;284.552,08;0020;"ITBI - Principal  - MDE";A;07;000;250.000,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.03.00.00.00.000;02;0201;150.000,00;170.731,25;0040;"ITBI - Principal  - ASPS";A;07;000;150.000,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.0.0.00.00.00.00.000;02;0201;322.672,52;364.822,91;0000;"Impostos sobre a Producao, circulacao de Mercadorias e Servicos";S;05;000;322.672,52;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.0.00.00.00.00.000;02;0201;322.672,52;364.822,91;0000;"Imposto sobre Servicos de Qualquer Natureza";S;06;000;322.672,52;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.00.00.00.00.000;02;0201;318.998,28;361.027,32;0000;"Imposto sobre Servicos de Qualquer Natureza - Principal";S;06;000;318.998,28;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.01.00.00.00.000;02;0201;191.398,97;216.615,42;0001;"ISS - Principal  - PROPRIO";A;07;000;191.398,97;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.02.00.00.00.000;02;0201;79.749,57;90.257,57;0020;"ISS - Principal  - MDE";A;07;000;79.749,57;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.03.00.00.00.000;02;0201;47.849,74;54.154,33;0040;"ISS - Principal  - ASPS";A;07;000;47.849,74;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.00.00.00.00.000;02;0201;3.318,08;2.418,42;0000;"Imposto sobre Servicos de Qualquer Natureza - Multas e Juros de Mora";S;06;000;3.318,08;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.01.00.00.00.000;02;0201;1.990,85;1.450,99;0001;"ISS - Multas e Juros de Mora  - PROPRIO";A;07;000;1.990,85;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.02.00.00.00.000;02;0201;829,52;604,65;0020;"ISS - Multas e Juros de Mora  - MDE";A;07;000;829,52;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.03.00.00.00.000;02;0201;497,71;362,78;0040;"ISS - Multas e Juros de Mora  - ASPS";A;07;000;497,71;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.00.00.00.00.000;02;0201;275,32;958,24;0000;"Imposto sobre Servicos de Qualquer Natureza - Divida Ativa";S;06;000;275,32;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.01.00.00.00.000;02;0201;165,19;574,92;0001;"ISS - Divida Ativa  - PROPRIO";A;07;000;165,19;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.02.00.00.00.000;02;0201;68,83;239,57;0020;"ISS - Divida Ativa  - MDE";A;07;000;68,83;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.03.00.00.00.000;02;0201;41,30;143,75;0040;"ISS - Divida Ativa  - ASPS";A;07;000;41,30;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.00.00.00.00.000;02;0201;80,84;418,93;0000;"Imposto sobre Servicos de Qualquer Natureza - Multas e Juros de Mora da Divida Ativa";S;06;000;80,84;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.01.00.00.00.000;02;0201;48,50;251,35;0001;"ISS - Multas e Juros de Mora da Divida Ativa  - PROPRIO";A;07;000;48,50;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.02.00.00.00.000;02;0201;20,21;104,74;0020;"ISS - Multas e Juros de Mora da Divida Ativa  - MDE";A;07;000;20,21;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.03.00.00.00.000;02;0201;12,13;62,84;0040;"ISS - Multas e Juros de Mora da Divida Ativa  - ASPS";A;07;000;12,13;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.0.00.0.0.00.00.00.00.000;02;0201;41.028,13;84.138,86;0000;Taxas;S;03;000;41.028,13;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.00.0.0.00.00.00.00.000;02;0201;0,00;18.768,98;0000;"Taxas pela Prestacao de Servicos";S;04;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.0.0.00.00.00.00.000;02;0201;0,00;18.768,98;0000;"Taxas pela Prestacao de Servicos";S;05;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.0.00.00.00.00.000;02;0201;0,00;18.768,98;0000;"Taxas pela Prestacao de Servicos";S;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.1.00.00.00.00.000;02;0201;0,00;18.751,83;0000;"Taxas pela Prestacao de Servicos - Principal";S;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.1.01.00.00.00.000;02;0201;0,00;18.751,83;0001;"Taxa de Expediente - Principal";A;07;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.2.00.00.00.00.000;02;0201;0,00;9,16;0000;"Taxas pela Prestacao de Servicos - Multas e Juros de Mora";S;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.2.01.00.00.00.000;02;0201;0,00;9,16;0001;"Taxa de Expediente - Multa e Juros de Mora";A;07;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.3.00.00.00.00.000;02;0201;0,00;7,00;0000;"Taxas pela Prestacao de Servicos - Divida Ativa";S;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.3.01.00.00.00.000;02;0201;0,00;7,00;0001;"Taxa de Expediente - Divida Ativa";A;07;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.4.00.00.00.00.000;02;0201;0,00;0,99;0000;"Taxas pela Prestacao de Servicos - Multas e Juros de Mora da Divida Ativa";S;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.2.01.1.4.01.00.00.00.000;02;0201;0,00;0,99;0001;"Taxa de Expediente - Multa e Juros de Mora da Divida Ativa";A;07;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.8.00.0.0.00.00.00.00.000;02;0201;41.028,13;65.369,88;0000;"Taxas - Especificas de Estados, DF e Municipios";S;04;000;41.028,13;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.8.01.0.0.00.00.00.00.000;02;0201;41.028,13;65.369,88;0000;"Taxas de Inspecao, Controle e Fiscalizacao";S;05;000;41.028,13;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.8.01.1.0.00.00.00.00.000;02;0201;5.228,32;3.528,96;0000;"Taxa de Fiscalizacao de Vigilancia Sanitaria";S;06;000;5.228,32;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.8.01.1.1.00.00.00.00.000;02;0201;5.228,32;3.388,00;0001;"Taxa de Fiscalizacao de Vigilancia Sanitaria - Principal";A;06;000;5.228,32;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.8.01.1.2.00.00.00.00.000;02;0201;0,00;13,31;0001;"Taxa de Fiscalizacao de Vigilancia Sanitaria - Multas e Juros de Mora";A;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.8.01.1.3.00.00.00.00.000;02;0201;0,00;112,00;0001;"Taxa de Fiscalizacao de Vigilancia Sanitaria - Divida Ativa";A;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.2.8.01.1.4.00.00.00.00.000;02;0201;0,00;15,65;0001;"Taxa de Fiscalizacao de Vigilancia Sanitaria - Multas e Juros de Mora da Divida Ativa";A;06;000;0,00;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
