codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.1.3.03.1.1.01.03.00.00.000;02;0201;83.634,43;70.786,55;0040;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS- ASPS";A;08;000;83.634,43;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.00.00.00.000;02;0201;48.117,32;27.695,67;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO";S;07;000;48.117,32;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.01.00.00.000;02;0201;28.870,39;16.617,39;0001;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO - PROPRIO";A;08;000;28.870,39;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.02.00.00.000;02;0201;12.029,33;6.923,91;0020;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO - MDE";A;08;000;12.029,33;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.03.00.00.000;02;0201;7.217,60;4.154,37;0040;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO - ASPS";A;08;000;7.217,60;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.00.00.00.000;02;0201;86.757,59;176.206,68;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS";S;07;000;116.757,59;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.01.00.00.000;02;0201;52.054,55;105.724,00;0001;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS - PROPRIO";A;08;000;70.054,55;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.02.00.00.000;02;0201;21.689,40;44.051,68;0020;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS - MDE";A;08;000;29.189,40;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.03.00.00.000;02;0201;13.013,64;26.431,00;0040;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS - ASPS";A;08;000;17.513,64;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.4.0.00.00.00.00.000;02;0201;0,00;1.250,73;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS";S;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.4.1.00.00.00.00.000;02;0201;0,00;1.250,73;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS - PRINCIPAL";S;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.00.00.00.000;02;0201;0,00;1.250,73;0000;"IRRF - OUTROS RENDIMENTOS - PRINCIPAL  - PODER EXECUTIVO";S;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.01.00.00.000;02;0201;0,00;750,44;0001;"IRRF - OUTROS RENDIMENTOS - PRINCIPAL  - PODER EXECUTIVO - PROPRIO";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.02.00.00.000;02;0201;0,00;312,68;0020;"IRRF - OUTROS RENDIMENTOS - PRINCIPAL  - PODER EXECUTIVO - MDE";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.4.1.01.03.00.00.000;02;0201;0,00;187,61;0040;"IRRF - OUTROS RENDIMENTOS - PRINCIPAL  - PODER EXECUTIVO - ASPS";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.00.0.0.00.00.00.00.000;02;0201;2.068.422,85;2.389.485,30;0000;"IMPOSTOS ESPECIFICOS DE ESTADOS, DF E MUNICIPIOS";S;04;000;2.257.612,85;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.0.0.00.00.00.00.000;02;0201;1.694.628,98;1.800.009,97;0000;"IMPOSTOS SOBRE O PATRIMONIO PARA ESTADOS/DF/MUNICIPIOS";S;05;000;1.834.628,98;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.0.00.00.00.00.000;02;0201;837.620,27;726.099,06;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";S;06;000;877.620,27;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.1.00.00.00.00.000;02;0201;667.945,28;516.649,80;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";S;06;000;667.945,28;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.1.01.00.00.00.000;02;0201;400.767,17;309.989,69;0001;"IPTU - PRINCIPAL  - PROPRIO";A;07;000;400.767,17;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.1.02.00.00.00.000;02;0201;166.986,32;129.162,64;0020;"IPTU - PRINCIPAL  - MDE";A;07;000;166.986,32;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.1.03.00.00.00.000;02;0201;100.191,79;77.497,47;0040;"IPTU - PRINCIPAL  - ASPS";A;07;000;100.191,79;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.2.00.00.00.00.000;02;0201;4.052,72;779,65;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS DE MORA";S;06;000;4.052,72;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.2.01.00.00.00.000;02;0201;2.431,63;467,73;0001;"IPTU - MULTAS E JUROS DE MORA  - PROPRIO";A;07;000;2.431,63;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.2.02.00.00.00.000;02;0201;1.013,18;194,95;0020;"IPTU - MULTAS E JUROS DE MORA  - MDE";A;07;000;1.013,18;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.2.03.00.00.00.000;02;0201;607,91;116,97;0040;"IPTU - MULTAS E JUROS DE MORA  - ASPS";A;07;000;607,91;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.3.00.00.00.00.000;02;0201;91.011,59;167.301,53;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DIVIDA ATIVA";S;06;000;131.011,59;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.3.01.00.00.00.000;02;0201;54.606,95;100.379,50;0001;"IPTU - DIVIDA ATIVA  - PROPRIO";A;07;000;78.606,95;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.3.02.00.00.00.000;02;0201;22.752,90;41.826,43;0020;"IPTU - DIVIDA ATIVA  - MDE";A;07;000;32.752,90;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.3.03.00.00.00.000;02;0201;13.651,74;25.095,60;0040;"IPTU - DIVIDA ATIVA  - ASPS";A;07;000;19.651,74;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.4.00.00.00.00.000;02;0201;74.610,68;41.368,08;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS DE MORA DA DIVIDA ATIVA";S;06;000;74.610,68;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.4.01.00.00.00.000;02;0201;44.766,41;24.820,10;0001;"IPTU - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - PROPRIO";A;07;000;44.766,41;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.4.02.00.00.00.000;02;0201;18.652,67;10.342,71;0020;"IPTU - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - MDE";A;07;000;18.652,67;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.1.4.03.00.00.00.000;02;0201;11.191,60;6.205,27;0040;"IPTU - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - ASPS";A;07;000;11.191,60;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.4.0.00.00.00.00.000;02;0201;857.008,71;1.073.910,91;0000;"IMPOSTO SOBRE TRANSMISSAO “INTER VIVOS” DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS";S;06;000;957.008,71;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.4.1.00.00.00.00.000;02;0201;857.008,71;1.073.910,91;0000;"IMPOSTO SOBRE TRANSMISSAO “INTER VIVOS” DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS - PRINCIPAL";S;06;000;957.008,71;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.4.1.01.00.00.00.000;02;0201;514.205,22;644.346,54;0001;"ITBI - PRINCIPAL  - PROPRIO";A;07;000;574.205,22;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.4.1.02.00.00.00.000;02;0201;214.252,18;268.477,73;0020;"ITBI - PRINCIPAL  - MDE";A;07;000;239.252,18;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.01.4.1.03.00.00.00.000;02;0201;128.551,31;161.086,64;0040;"ITBI - PRINCIPAL  - ASPS";A;07;000;143.551,31;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.0.0.00.00.00.00.000;02;0201;373.793,87;589.475,33;0000;"IMPOSTOS SOBRE A PRODUCAO, CIRCULACAO DE MERCADORIAS E SERVICOS";S;05;000;422.983,87;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.0.00.00.00.00.000;02;0201;373.793,87;589.475,33;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA";S;06;000;422.983,87;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.1.00.00.00.00.000;02;0201;355.250,07;584.087,34;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - PRINCIPAL";S;06;000;404.440,07;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.1.01.00.00.00.000;02;0201;213.150,04;350.451,57;0001;"ISS - PRINCIPAL  - PROPRIO";A;07;000;242.664,04;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.1.02.00.00.00.000;02;0201;88.812,52;146.022,46;0020;"ISS - PRINCIPAL  - MDE";A;07;000;101.110,02;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.1.03.00.00.00.000;02;0201;53.287,51;87.613,31;0040;"ISS - PRINCIPAL  - ASPS";A;07;000;60.666,01;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.2.00.00.00.00.000;02;0201;2.834,99;3.589,14;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - MULTAS E JUROS DE MORA";S;06;000;2.834,99;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.2.01.00.00.00.000;02;0201;1.700,99;2.153,44;0001;"ISS - MULTAS E JUROS DE MORA  - PROPRIO";A;07;000;1.700,99;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.2.02.00.00.00.000;02;0201;708,75;897,31;0020;"ISS - MULTAS E JUROS DE MORA  - MDE";A;07;000;708,75;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.2.03.00.00.00.000;02;0201;425,25;538,39;0040;"ISS - MULTAS E JUROS DE MORA  - ASPS";A;07;000;425,25;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.3.00.00.00.00.000;02;0201;7.752,53;1.505,89;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - DIVIDA ATIVA";S;06;000;7.752,53;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.3.01.00.00.00.000;02;0201;4.651,52;903,47;0001;"ISS - DIVIDA ATIVA  - PROPRIO";A;07;000;4.651,52;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.3.02.00.00.00.000;02;0201;1.938,13;376,52;0020;"ISS - DIVIDA ATIVA  - MDE";A;07;000;1.938,13;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.3.03.00.00.00.000;02;0201;1.162,88;225,90;0040;"ISS - DIVIDA ATIVA  - ASPS";A;07;000;1.162,88;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.4.00.00.00.00.000;02;0201;7.956,28;292,96;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - MULTAS E JUROS DE MORA DA DIVIDA ATIVA";S;06;000;7.956,28;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
