codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.1.3.03.1.1.01.03.00.00.000;02;0201;89.038,42;81.698,03;0040;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS- ASPS";A;08;000;89.038,42;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.00.00.00.000;02;0201;43.556,33;55.517,35;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO";S;07;000;43.556,33;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.01.00.00.000;02;0201;26.133,80;33.310,40;0001;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO - PROPRIO";A;08;000;26.133,80;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.02.00.00.000;02;0201;10.889,08;13.879,36;0020;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO - MDE";A;08;000;10.889,08;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.03.00.00.000;02;0201;6.533,45;8.327,59;0040;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO - ASPS";A;08;000;6.533,45;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.00.00.00.000;02;0201;60.030,99;126.467,47;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS";S;07;000;60.030,99;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.01.00.00.000;02;0201;36.018,59;75.880,44;0001;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS - PROPRIO";A;08;000;36.018,59;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.02.00.00.000;02;0201;15.007,75;31.616,89;0020;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS - MDE";A;08;000;15.007,75;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.03.00.00.000;02;0201;9.004,65;18.970,14;0040;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - INATIVOS PAGOS PELO RPPS - ASPS";A;08;000;9.004,65;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.00.0.0.00.00.00.00.000;02;0201;2.274.599,02;1.786.883,14;0000;"IMPOSTOS ESPECIFICOS DE ESTADOS, DF E MUNICIPIOS";S;04;000;2.274.599,02;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.0.0.00.00.00.00.000;02;0201;1.893.096,48;1.379.184,18;0000;"IMPOSTOS SOBRE O PATRIMONIO PARA ESTADOS/DF/MUNICIPIOS";S;05;000;1.893.096,48;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.0.00.00.00.00.000;02;0201;560.719,28;550.505,16;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";S;06;000;560.719,28;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.00.00.00.00.000;02;0201;465.882,57;456.582,73;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";S;06;000;465.882,57;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.01.00.00.00.000;02;0201;279.529,54;273.947,27;0001;"IPTU - PRINCIPAL  - PROPRIO";A;07;000;279.529,54;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.02.00.00.00.000;02;0201;116.470,64;114.147,69;0020;"IPTU - PRINCIPAL  - MDE";A;07;000;116.470,64;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.1.03.00.00.00.000;02;0201;69.882,39;68.487,77;0040;"IPTU - PRINCIPAL  - ASPS";A;07;000;69.882,39;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.00.00.00.00.000;02;0201;3.857,98;7.062,76;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS DE MORA";S;06;000;3.857,98;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.01.00.00.00.000;02;0201;2.314,78;4.237,40;0001;"IPTU - MULTAS E JUROS DE MORA  - PROPRIO";A;07;000;2.314,78;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.02.00.00.00.000;02;0201;964,50;1.765,92;0020;"IPTU - MULTAS E JUROS DE MORA  - MDE";A;07;000;964,50;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.2.03.00.00.00.000;02;0201;578,70;1.059,44;0040;"IPTU - MULTAS E JUROS DE MORA  - ASPS";A;07;000;578,70;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.00.00.00.00.000;02;0201;66.932,37;63.348,40;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DIVIDA ATIVA";S;06;000;66.932,37;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.01.00.00.00.000;02;0201;40.159,42;38.008,43;0001;"IPTU - DIVIDA ATIVA  - PROPRIO";A;07;000;40.159,42;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.02.00.00.00.000;02;0201;16.733,09;15.837,60;0020;"IPTU - DIVIDA ATIVA  - MDE";A;07;000;16.733,09;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.3.03.00.00.00.000;02;0201;10.039,86;9.502,37;0040;"IPTU - DIVIDA ATIVA  - ASPS";A;07;000;10.039,86;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.00.00.00.00.000;02;0201;24.046,36;23.511,27;0000;"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS DE MORA DA DIVIDA ATIVA";S;06;000;24.046,36;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.01.00.00.00.000;02;0201;14.427,82;14.106,44;0001;"IPTU - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - PROPRIO";A;07;000;14.427,82;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.02.00.00.00.000;02;0201;6.011,59;5.878,14;0020;"IPTU - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - MDE";A;07;000;6.011,59;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.1.4.03.00.00.00.000;02;0201;3.606,95;3.526,69;0040;"IPTU - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - ASPS";A;07;000;3.606,95;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.4.0.00.00.00.00.000;02;0201;1.332.377,20;828.679,02;0000;"IMPOSTO SOBRE TRANSMISSAO “INTER VIVOS” DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS";S;06;000;1.332.377,20;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.00.00.00.00.000;02;0201;1.332.377,20;828.679,02;0000;"IMPOSTO SOBRE TRANSMISSAO “INTER VIVOS” DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS - PRINCIPAL";S;06;000;1.332.377,20;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.01.00.00.00.000;02;0201;799.426,32;497.207,39;0001;"ITBI - PRINCIPAL  - PROPRIO";A;07;000;799.426,32;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.02.00.00.00.000;02;0201;333.094,30;207.169,78;0020;"ITBI - PRINCIPAL  - MDE";A;07;000;333.094,30;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.01.4.1.03.00.00.00.000;02;0201;199.856,58;124.301,85;0040;"ITBI - PRINCIPAL  - ASPS";A;07;000;199.856,58;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.0.0.00.00.00.00.000;02;0201;381.502,54;407.698,96;0000;"IMPOSTOS SOBRE A PRODUCAO, CIRCULACAO DE MERCADORIAS E SERVICOS";S;05;000;381.502,54;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.0.00.00.00.00.000;02;0201;381.502,54;407.698,96;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA";S;06;000;381.502,54;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.00.00.00.00.000;02;0201;363.603,56;404.610,31;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - PRINCIPAL";S;06;000;363.603,56;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.01.00.00.00.000;02;0201;218.162,14;242.765,54;0001;"ISS - PRINCIPAL  - PROPRIO";A;07;000;218.162,14;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.02.00.00.00.000;02;0201;90.900,89;101.153,03;0020;"ISS - PRINCIPAL  - MDE";A;07;000;90.900,89;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.1.03.00.00.00.000;02;0201;54.540,53;60.691,74;0040;"ISS - PRINCIPAL  - ASPS";A;07;000;54.540,53;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.00.00.00.00.000;02;0201;3.633,04;2.770,13;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - MULTAS E JUROS DE MORA";S;06;000;3.633,04;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.01.00.00.00.000;02;0201;2.179,82;1.662,04;0001;"ISS - MULTAS E JUROS DE MORA  - PROPRIO";A;07;000;2.179,82;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.02.00.00.00.000;02;0201;908,26;692,57;0020;"ISS - MULTAS E JUROS DE MORA  - MDE";A;07;000;908,26;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.2.03.00.00.00.000;02;0201;544,96;415,52;0040;"ISS - MULTAS E JUROS DE MORA  - ASPS";A;07;000;544,96;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.00.00.00.00.000;02;0201;6.644,21;297,67;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - DIVIDA ATIVA";S;06;000;6.644,21;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.01.00.00.00.000;02;0201;3.986,53;178,60;0001;"ISS - DIVIDA ATIVA  - PROPRIO";A;07;000;3.986,53;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.02.00.00.00.000;02;0201;1.661,05;74,42;0020;"ISS - DIVIDA ATIVA  - MDE";A;07;000;1.661,05;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.3.03.00.00.00.000;02;0201;996,63;44,65;0040;"ISS - DIVIDA ATIVA  - ASPS";A;07;000;996,63;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.00.00.00.00.000;02;0201;7.621,73;20,85;0000;"IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - MULTAS E JUROS DE MORA DA DIVIDA ATIVA";S;06;000;7.621,73;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.01.00.00.00.000;02;0201;4.573,04;12,51;0001;"ISS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - PROPRIO";A;07;000;4.573,04;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.02.00.00.00.000;02;0201;1.905,43;5,22;0020;"ISS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - MDE";A;07;000;1.905,43;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.8.02.3.4.03.00.00.00.000;02;0201;1.143,26;3,12;0040;"ISS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - ASPS";A;07;000;1.143,26;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.0.00.0.0.00.00.00.00.000;02;0201;64.189,26;87.497,50;0000;TAXAS;S;03;000;64.189,26;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.8.00.0.0.00.00.00.00.000;02;0201;64.189,26;87.497,50;0000;"TAXAS - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS";S;04;000;64.189,26;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.8.01.0.0.00.00.00.00.000;02;0201;64.189,26;87.497,50;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO";S;05;000;64.189,26;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.8.01.1.0.00.00.00.00.000;02;0201;3.293,70;2.701,00;0000;"TAXA DE FISCALIZACAO DE VIGILANCIA SANITARIA";S;06;000;3.293,70;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.8.01.1.1.00.00.00.00.000;02;0201;3.293,70;2.701,00;0001;"TAXA DE FISCALIZACAO DE VIGILANCIA SANITARIA - PRINCIPAL";A;06;000;3.293,70;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.8.01.9.0.00.00.00.00.000;02;0201;60.895,56;84.796,50;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - OUTRAS";S;06;000;60.895,56;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.8.01.9.1.00.00.00.00.000;02;0201;60.895,56;83.121,64;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - OUTRAS - PRINCIPAL";S;06;000;60.895,56;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.2.8.01.9.1.01.00.00.00.000;02;0201;29.309,61;37.946,00;0001;"TAXA DE VISTORIA - PRINCIPAL";A;07;000;29.309,61;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
